"Time (s);""Linear Acceleration x (m/s^2)"";""Linear Acceleration y (m/s^2)"";""Linear Acceleration z (m/s^2)"";""Absolute acceleration (m/s^2)""",Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.135432667E0;1.933129256E0;-1.958635395E0;1.490300903E0;3.129574750E0,,,,,
1.145450667E0;1.653920031E-1;-3.008185754E0;1.136036891E0;3.219800594E0,,,,,
1.155468667E0;-1.693004574E0;-3.797736745E0;6.018704255E-1;4.201347032E0,,,,,
1.165486667E0;-3.249383107E0;-3.774206965E0;-1.511610496E-1;4.982567456E0,,,,,
1.175504667E0;-4.455515177E0;-2.920371100E0;-8.759210178E-1;5.398835105E0,,,,,
1.185523667E0;-5.324281615E0;-1.861194470E0;-9.713628531E-1;5.723247799E0,,,,,
1.195541667E0;-5.641633397E0;-9.436540675E-1;-8.100206316E-1;5.777079177E0,,,,,
1.205559667E0;-5.385583239E0;-4.095860544E-1;-8.958331259E-1;5.474923246E0,,,,,
1.215577667E0;-4.709999451E0;7.808517963E-2;-7.006413730E-1;4.762466846E0,,,,,
1.225595667E0;-3.925555710E0;7.902471024E-1;-1.180422740E-1;4.006046941E0,,,,,
1.235614667E0;-3.342345650E0;1.732456615E0;2.982102641E-1;3.776454651E0,,,,,
1.245632667E0;-2.990090083E0;2.649600869E0;-3.762098551E-2;3.995302092E0,,,,,
1.255650667E0;-2.603578019E0;2.962134838E0;-6.874303202E-1;4.003176457E0,,,,,
1.265668667E0;-2.216207584E0;2.786343269E0;-9.403936601E-1;3.682339624E0,,,,,
1.275686667E0;-2.039017653E0;2.713577302E0;-3.813438566E-1;3.415628478E0,,,,,
1.285704667E0;-1.782267584E0;3.160662427E0;1.952513945E-1;3.633784229E0,,,,,
1.295723667E0;-1.335475988E0;3.514169298E0;5.065571558E-1;3.793347087E0,,,,,
1.305741667E0;-1.021630781E0;3.683225166E0;6.221578518E-1;3.872590538E0,,,,,
1.315759667E0;-8.156725502E-1;4.253985043E0;1.000617642E0;4.445553522E0,,,,,
1.325777667E0;-8.428971863E-1;4.704083823E0;1.368633063E0;4.971120270E0,,,,,
1.335795667E0;-1.041710120E0;4.736587618E0;1.512055177E0;5.080032784E0,,,,,
1.345813667E0;-8.604610527E-1;4.239992656E0;1.254309911E0;4.504578148E0,,,,,
1.355832667E0;1.217624187E-1;2.623124384E0;7.345285459E-1;2.726745277E0,,,,,
1.365850667E0;2.061647547E0;-1.084392455E-1;1.046766353E0;2.314707212E0,,,,,
1.375868667E0;4.659981784E0;-3.352275977E0;1.454558043E0;5.921902021E0,,,,,
1.385886667E0;7.416997173E0;-5.109150272E0;1.680762259E0;9.161889835E0,,,,,
1.395904667E0;9.651943329E0;-5.395370893E0;6.953463538E-1;1.107941982E1,,,,,
1.405922667E0;1.082353765E1;-5.462273566E0;-1.265449588E0;1.218961699E1,,,,,
1.415941667E0;9.886652319E0;-4.606612785E0;-2.621203866E0;1.121773084E1,,,,,
1.425959667E0;5.862104418E0;-2.681138411E0;-2.169048181E0;6.801289686E0,,,,,
1.435977667E0;1.188857056E0;-1.364936307E0;-1.258225206E0;2.204441628E0,,,,,
1.445995667E0;-2.217205119E0;-1.094577720E0;-4.542102501E-2;2.473087542E0,,,,,
1.456013667E0;-3.917621039E0;-1.255618225E0;1.361843569E0;4.333468546E0,,,,,
1.466031667E0;-4.858879502E0;-1.290204506E0;1.912308490E0;5.378685847E0,,,,,
1.476050667E0;-5.231514954E0;-1.462694736E0;1.801433587E0;5.723057537E0,,,,,
1.486068667E0;-4.790999175E0;-1.358419878E0;2.074117320E0;5.394528739E0,,,,,
1.496086667E0;-4.049725428E0;-9.561051285E-1;2.483884638E0;4.846039202E0,,,,,
1.506104667E0;-3.721162779E0;-5.512339765E-1;3.331362240E0;5.024826932E0,,,,,
1.516122667E0;-3.096154482E0;-3.389636761E-1;4.356506613E0;5.355391566E0,,,,,
1.526140667E0;-2.374166606E0;-4.633111489E-1;4.555121326E0;5.157562854E0,,,,,
1.536159667E0;-1.868452619E0;-3.804993725E-1;4.937294172E0;5.292709014E0,,,,,
1.546177667E0;-1.357963210E0;-7.726329499E-1;5.839539428E0;6.044935606E0,,,,,
1.556195667E0;-1.500241755E0;-1.646464246E0;5.035318065E0;5.505996535E0,,,,,
1.566213667E0;-1.506501784E0;-1.902997969E0;4.295451157E0;4.933745994E0,,,,,
1.576231667E0;-1.182570714E0;-2.249046131E0;4.560094968E0;5.220263223E0,,,,,
1.586249667E0;-9.828210568E-1;-3.537419289E0;3.098238430E0;4.803993529E0,,,,,
1.596268667E0;-1.021337836E0;-4.467579153E0;-4.022904249E0;6.098045019E0,,,,,
1.606286667E0;-6.280365694E-1;-2.934153280E0;-1.034450919E1;1.077091248E1,,,,,
1.616304667E0;-1.672573233E0;-2.669794228E0;-7.190921012E0;7.850773684E0,,,,,
1.626322667E0;-3.150413720E0;-2.274349957E0;-3.507294434E0;5.234394768E0,,,,,
1.636340667E0;-3.375689397E0;-1.796406736E0;-7.770726677E-1;3.902076114E0,,,,,
1.646359667E0;-3.510541393E0;-1.175887932E0;1.910846686E-1;3.707172326E0,,,,,
1.656377667E0;-2.580658688E0;-7.563665807E-2;-6.977446624E-1;2.674391105E0,,,,,
1.666395667E0;-4.737963760E-1;8.805140787E-1;-1.015100026E0;1.424856523E0,,,,,
1.676413667E0;1.821950297E0;8.502822196E-1;3.331100651E-1;2.038000259E0,,,,,
1.686431667E0;3.231566057E0;5.168359762E-1;3.514078374E0;4.801966829E0,,,,,
1.696449667E0;3.275306738E0;-4.872712845E-1;5.823281829E0;6.698931168E0,,,,,
1.706467667E0;2.075606605E0;-1.385289588E0;4.828590925E0;5.435297631E0,,,,,
1.716486667E0;3.509691793E-1;-1.827970591E0;2.187948575E0;2.872590262E0,,,,,
1.726504667E0;-9.618669748E-1;-2.087756535E0;7.835046780E-1;2.428537627E0,,,,,
1.736522667E0;-1.189996678E0;-1.950807143E0;8.223648347E-2;2.286592102E0,,,,,
1.746540667E0;-7.841624898E-1;-1.968193839E0;-8.954204587E-1;2.300103388E0,,,,,
1.756558667E0;-2.475845593E-1;-1.555620149E0;-2.646163291E0;3.079518197E0,,,,,
1.766577667E0;-2.084649324E-2;-1.162426472E-1;-4.519642761E0;4.521185421E0,,,,,
1.776595667E0;-9.944301188E-2;3.054102477E0;-6.166925032E0;6.882470138E0,,,,,
1.786613667E0;-1.352604822E0;5.031012175E0;-6.200753514E0;8.098763328E0,,,,,
1.796631667E0;-2.164094274E0;5.084579102E0;-3.208528612E0;6.389906457E0,,,,,
1.806649667E0;-2.085930449E0;3.088556026E0;2.301697969E-1;3.734067795E0,,,,,
1.816667667E0;-2.152627299E0;-5.171230745E-1;3.249998235E0;3.932392286E0,,,,,
1.826686667E0;-1.933457285E0;-2.401675417E0;4.684015009E0;5.607699928E0,,,,,
1.836704667E0;-8.419160235E-1;-1.418477799E0;4.965754910E0;5.232554221E0,,,,,
1.846722667E0;1.026572263E-1;2.346031559E-1;4.220813788E0;4.228574959E0,,,,,
1.856740667E0;-1.269065067E-1;3.307331353E-1;2.676648334E0;2.699988143E0,,,,,
1.866758667E0;3.532741517E-2;7.294524318E-1;2.602677548E0;2.703197976E0,,,,,
1.876776667E0;7.376712781E-1;1.737538138E0;2.637253304E0;3.243193285E0,,,,,
1.886795667E0;1.302618729E0;2.490085902E0;2.940150769E0;4.067164848E0,,,,,
1.896813667E0;1.724056213E0;2.810238501E0;3.372292750E0;4.716160371E0,,,,,
1.906831667E0;2.402049639E0;4.592688518E0;3.947976859E0;6.515301341E0,,,,,
1.916849667E0;5.955013751E0;1.149063011E1;3.972125859E0;1.353789323E1,,,,,
1.926867667E0;8.228874296E0;1.036513816E1;2.589071077E0;1.348531610E1,,,,,
1.936886667E0;7.836626698E0;4.198717160E0;1.907024946E0;9.092782189E0,,,,,
1.946904667E0;6.782829798E0;1.706156132E0;2.379292860E0;7.387745484E0,,,,,
1.956922667E0;5.456843256E0;8.953069496E-1;3.129775972E0;6.354070388E0,,,,,
1.966940667E0;3.637463687E0;-1.071651372E0;3.469889796E0;5.140011083E0,,,,,
1.976958667E0;1.644418013E0;-2.891434107E0;4.313474615E0;5.447069400E0,,,,,
1.986976667E0;-7.834918141E-1;-4.860098062E0;5.434072444E0;7.332363597E0,,,,,
1.996995667E0;-3.512532662E0;-6.646645222E0;2.930374224E0;8.068635046E0,,,,,
2.007013667E0;-5.007803991E0;-6.450560600E0;4.031490739E-1;8.176207069E0,,,,,
2.017031667E0;-5.067233337E0;-6.947383896E0;-3.789723136E0;9.397073913E0,,,,,
2.027049667E0;-5.041109147E0;-7.616998261E0;-4.193970391E0;1.005091198E1,,,,,
2.037067667E0;-5.554996372E0;-7.670754638E0;-2.804206513E0;9.877349624E0,,,,,
2.047085667E0;-5.309379986E0;-7.912632315E0;-2.760343040E0;9.920622949E0,,,,,
2.057104667E0;-3.332103375E0;-7.278255025E0;-3.910215540E0;8.908742598E0,,,,,
2.067122667E0;-1.730830797E0;-6.774089381E0;-4.129170377E0;8.119982154E0,,,,,
2.077139792E0;-9.704898638E-1;-5.878470190E0;-3.718340328E0;7.023127305E0,,,,,
2.087157792E0;-1.322995107E0;-4.712354125E0;-3.030579128E0;5.756822674E0,,,,,
2.097175792E0;-2.310850616E0;-3.685338643E0;-2.097547113E0;4.829229273E0,,,,,
2.107193792E0;-2.946430678E0;-2.840998363E0;-1.164571230E0;4.255461384E0,,,,,
2.117212792E0;-3.375873000E0;-2.099443949E0;-4.472417577E-1;4.000526040E0,,,,,
2.127230792E0;-3.925698675E0;-1.125573226E0;-5.340371691E-2;4.084222953E0,,,,,
2.137248792E0;-3.561299903E0;5.071331066E-1;-1.192771109E0;3.789821091E0,,,,,
2.147266792E0;-2.337247286E0;8.754346025E-1;-4.784145069E-1;2.541257772E0,,,,,
2.157284792E0;-2.266805587E0;-1.823635465E-1;1.755931870E0;2.873144752E0,,,,,
2.167303792E0;-1.996392036E0;-1.372166097E-1;2.621305608E0;3.297825442E0,,,,,
2.177321792E0;-1.856878640E0;-1.691166794E-1;2.734525244E0;3.309717064E0,,,,,
2.187339792E0;-1.790299319E0;-7.928473592E-2;2.462968855E0;3.045927330E0,,,,,
2.197357792E0;-1.847154136E0;-8.983779073E-2;1.780458601E0;2.567115514E0,,,,,
2.207375792E0;-2.247372658E0;-2.306638867E-1;1.211625090E0;2.563576614E0,,,,,
2.217393792E0;-2.512141600E0;-1.237381929E-1;5.663567034E-1;2.578163391E0,,,,,
2.227412792E0;-2.462657198E0;3.249274349E-1;-1.120069242E-1;2.486524455E0,,,,,
2.237430792E0;-2.278762266E0;1.026268793E0;-1.861999047E-1;2.506123601E0,,,,,
2.247448792E0;-2.181005299E0;1.409988812E0;1.295811693E-1;2.600316104E0,,,,,
2.257466792E0;-2.011728113E0;1.735789236E0;4.891638820E-1;2.701720855E0,,,,,
2.267484792E0;-1.667957149E0;2.205050511E0;8.469772272E-1;2.891660290E0,,,,,
2.277503792E0;-1.158395694E0;2.378159670E0;1.299492223E0;2.947236678E0,,,,,
2.287521792E0;-5.216014570E-1;2.247256883E0;1.501843307E0;2.752774037E0,,,,,
2.297539792E0;-6.774993360E-2;1.613146811E0;3.564111829E-1;1.653439330E0,,,,,
2.307557792E0;2.318143263E-1;1.160703882E0;-1.116952529E0;1.627437967E0,,,,,
2.317575792E0;4.575782463E-1;1.242100632E0;-2.419613944E0;2.758028910E0,,,,,
2.327593792E0;-1.851248941E-1;5.124277604E-1;-3.976811818E0;4.013961344E0,,,,,
2.337612792E0;-1.331343761E0;-5.449710238E-1;-3.926173761E0;4.181424402E0,,,,,
2.347630792E0;-1.913732872E0;-8.893498063E-1;-3.107673497E0;3.756454598E0,,,,,
2.357648792E0;-2.065378948E0;-9.564015824E-1;-1.677607101E0;2.827518306E0,,,,,
2.367666792E0;-1.693851543E0;-8.909800100E-1;-2.441680312E-1;1.929403135E0,,,,,
2.377684792E0;-9.456687257E-1;-9.817995483E-1;1.019936916E0;1.702495523E0,,,,,
2.387703792E0;-3.867971161E-1;-1.106156377E0;1.960740978E0;2.284228342E0,,,,,
2.397721792E0;-1.086324960E-2;-4.880776155E-1;2.468593876E0;2.516404875E0,,,,,
2.407739792E0;-2.446966195E-1;5.111168146E-1;2.753273757E0;2.810984385E0,,,,,
2.417757792E0;-5.396465492E-1;7.502626723E-1;2.716805842E0;2.869694489E0,,,,,
2.427775792E0;-6.600354570E-1;3.931170791E-1;2.291194031E0;2.416559110E0,,,,,
2.437793792E0;-7.692146677E-1;-2.301417303E-1;1.878502082E0;2.042896594E0,,,,,
2.447812792E0;-9.314687625E-1;-7.513397294E-1;1.524925922E0;1.938438679E0,,,,,
2.457830792E0;-1.057847850E0;-1.026957010E0;8.972400391E-1;1.725897582E0,,,,,
2.467848792E0;-1.160543961E0;-1.006447316E0;-8.168224052E-2;1.538333668E0,,,,,
2.477866792E0;-1.239287537E0;-8.622520548E-1;-1.178416268E0;1.915196362E0,,,,,
2.487884792E0;-1.364423507E0;-7.774797070E-1;-1.954606956E0;2.507312217E0,,,,,
2.497903792E0;-1.529368782E0;-7.323286772E-1;-2.197091135E0;2.775334866E0,,,,,
2.507921792E0;-1.675345983E0;-6.795505393E-1;-1.981568760E0;2.682384731E0,,,,,
2.517939792E0;-1.751204543E0;-7.084468943E-1;-1.375915332E0;2.337040298E0,,,,,
2.527957792E0;-1.829920052E0;-7.258587331E-1;-5.219995793E-1;2.036654575E0,,,,,
2.537975792E0;-1.942460243E0;-7.911575139E-1;1.547174723E-1;2.103097597E0,,,,,
2.547993792E0;-2.080579078E0;-8.304011017E-1;6.455349469E-1;2.331328088E0,,,,,
2.558012792E0;-2.215639234E0;-8.354402322E-1;8.518855262E-1;2.516490919E0,,,,,
2.568030792E0;-2.287057126E0;-7.964147455E-1;8.057648818E-1;2.552285993E0,,,,,
2.578048792E0;-2.264821919E0;-8.104053783E-1;6.129449058E-1;2.482312764E0,,,,,
2.588066792E0;-2.195450260E0;-8.508382899E-1;3.738477261E-1;2.384049027E0,,,,,
2.598084792E0;-2.124924946E0;-8.445969719E-1;1.599214943E-1;2.292209623E0,,,,,
2.608103792E0;-2.037903174E0;-7.940589023E-1;1.027648151E-4;2.187139433E0,,,,,
2.618121792E0;-1.957931975E0;-7.310744494E-1;-8.887548521E-2;2.091857147E0,,,,,
2.628139792E0;-1.877742675E0;-6.691015649E-1;-8.836093023E-2;1.995350123E0,,,,,
2.638157792E0;-1.852445866E0;-5.284111243E-1;7.848381355E-2;1.927935090E0,,,,,
2.648175792E0;-1.767015706E0;-5.415083027E-1;2.206761114E-1;1.861255945E0,,,,,
2.658193792E0;-1.621030027E0;-5.739211732E-1;2.935315414E-1;1.744501255E0,,,,,
2.668212792E0;-1.649560347E0;-4.735320818E-1;1.240266068E-1;1.720658179E0,,,,,
2.678230792E0;-1.705931599E0;-3.882808471E-1;-1.789686531E-2;1.749652804E0,,,,,
2.688248792E0;-1.556131781E0;-2.970800704E-1;2.694958305E-1;1.606994303E0,,,,,
2.698266792E0;-1.262179386E0;-2.046706742E-1;3.400351784E-1;1.323106500E0,,,,,
2.708284792E0;-1.429551841E0;-4.313479292E-1;1.221050656E-1;1.498195297E0,,,,,
2.718303792E0;-1.806023067E0;-6.547606838E-1;-3.632220197E-1;1.955085959E0,,,,,
2.728321792E0;-2.127909365E0;-8.567708749E-1;-1.150303732E0;2.566174833E0,,,,,
2.738339792E0;-2.288012561E0;-9.323356122E-1;-7.716345379E-1;2.588372275E0,,,,,
2.748357792E0;-2.280520524E0;-8.029741520E-1;-1.007497184E-1;2.419853684E0,,,,,
2.758375792E0;-2.237518346E0;-6.453338027E-1;1.704331800E-1;2.334950007E0,,,,,
2.768394792E0;-2.316655147E0;-6.017053878E-1;1.891754065E-1;2.400984752E0,,,,,
2.778412792E0;-2.577693565E0;-7.272480315E-1;-2.890723085E-1;2.693873905E0,,,,,
2.788430792E0;-2.814425107E0;-1.031332482E0;-8.601628447E-1;3.118415542E0,,,,,
2.798448792E0;-2.737251216E0;-1.023466807E0;-6.869273865E-1;3.001982305E0,,,,,
2.808466792E0;-2.618267394E0;-9.008033323E-1;-1.779190779E-1;2.774603754E0,,,,,
2.818484792E0;-2.635591525E0;-8.596032661E-1;7.475548267E-2;2.773237971E0,,,,,
2.828503792E0;-2.686881546E0;-9.203143215E-1;-1.202918440E-2;2.840150629E0,,,,,
2.838521792E0;-2.705525978E0;-9.567869139E-1;-3.373612466E-1;2.889485184E0,,,,,
